customer_index,cross_replication_avg_wait,smoothed_avg_wait
1,0.0,0.0
2,0.94642,0.47321
3,1.288603,0.745008
4,1.107604,0.835657
5,2.233023,1.11513
6,2.385398,1.326841
7,2.795641,1.53667
8,2.87276,1.703681
9,2.691239,1.81341
10,2.48631,1.8807
11,1.983999,1.890091
12,1.653237,1.870353
13,2.058227,1.884805
14,2.664993,1.940532
15,1.645482,1.920862
16,2.06686,1.929987
17,2.387443,1.956896
18,2.567681,1.990829
19,3.377418,2.063807
20,2.458664,2.08355
21,2.302573,2.09398
22,2.846372,2.128179
23,2.666006,2.151563
24,2.545596,2.167981
25,2.770904,2.192098
26,2.547081,2.293981
27,2.357402,2.350421
28,1.994246,2.378646
29,1.735726,2.403771
30,3.181723,2.441719
31,2.57022,2.449112
32,2.193492,2.425026
33,2.579585,2.413299
34,3.479463,2.444828
35,3.352014,2.479456
36,2.935857,2.517531
37,4.052627,2.613506
38,4.154473,2.697356
39,4.703976,2.778915
40,4.8141,2.90566
41,3.844824,2.976779
42,4.273883,3.052236
43,4.816436,3.142186
44,4.24349,3.176829
45,4.067494,3.241183
46,4.207318,3.317372
47,4.528856,3.384672
48,3.87983,3.433225
49,3.368475,3.46614
50,2.951204,3.473352
51,3.919965,3.528267
52,4.771943,3.624849
53,5.228929,3.754236
54,4.435832,3.86224
55,4.887815,3.930484
56,4.814306,4.020248
57,4.876296,4.12756
58,4.189409,4.191953
59,4.020724,4.213603
60,4.009231,4.239892
61,3.847502,4.276358
62,4.767077,4.304936
63,3.910534,4.295178
64,3.662598,4.253523
65,4.23866,4.230505
66,4.846931,4.27059
67,4.380625,4.274859
68,4.556004,4.264442
69,5.178314,4.301835
70,4.411087,4.315579
71,3.982611,4.30659
72,5.342801,4.339148
73,7.02526,4.464965
74,7.092997,4.613946
75,7.970967,4.814737
76,6.969841,4.936732
77,7.00992,5.026251
78,6.735706,5.086522
79,6.997374,5.188984
80,5.330831,5.206704
81,5.815677,5.246759
82,6.388008,5.307228
83,7.715942,5.448289
84,8.144505,5.61324
85,7.638105,5.758395
86,6.875623,5.87952
87,6.694041,5.956598
88,7.327442,6.093275
89,6.923885,6.223726
90,6.243671,6.303927
91,5.735158,6.339456
92,6.430214,6.421439
93,6.206583,6.487462
94,5.669666,6.507117
95,6.035261,6.572084
96,5.67898,6.639938
97,4.948202,6.624154
98,5.181199,6.550392
99,4.700016,6.454673
100,4.16551,6.302454
101,4.610818,6.208093
102,4.876368,6.122751
103,4.803809,6.045475
104,5.145254,5.971391
105,4.493676,5.937904
106,6.699113,5.973242
107,6.434875,5.975117
