sale_id,sale_date,generation,year,mileage_km,condition_grade,modifications,auction_house,country,final_price_usd,engine_code,transmission,color
SALE_00001,2021-01-31,R33,1995,96312,B,stock,Bring a Trailer,USA,41007.41,RB26DETT,Manual,Red
SALE_00002,2019-02-24,R33,1995,127376,A,modified,Mecum,Japan,43673.08,RB26DETT,Manual,Midnight Purple
SALE_00003,2022-09-25,R32,1992,62858,B,stock,Bonhams,USA,38047.59,RB26DETT,Manual,Silver
SALE_00004,2020-06-14,R33,1996,72468,B,stock,Bring a Trailer,USA,47548.29,RB26DETT,Automatic,Bayside Blue
SALE_00005,2018-04-19,R33,1995,45470,A,modified,Mecum,Canada,57078.8,RB26DETT,Automatic,Silver
SALE_00006,2025-04-15,R34,1999,103375,B,modified,Bonhams,Japan,78696.85,RB26DETT,Manual,Red
SALE_00007,2023-01-14,R33,1996,42046,B,stock,Bonhams,Australia,56565.22,RB26DETT,Manual,Midnight Purple
SALE_00008,2019-10-16,R34,2000,14649,D,modified,Bonhams,UK,74533.44,RB26DETT,Manual,Bayside Blue
SALE_00009,2019-09-29,R33,1998,76530,B,stock,Cars & Bids,UK,43980.88,RB26DETT,Manual,White
SALE_00010,2019-01-15,R33,1998,34701,B,stock,Mecum,UK,56590.11,RB26DETT,Manual,Bayside Blue
SALE_00011,2021-11-09,R33,1995,97463,C,modified,Cars & Bids,USA,35702.51,RB26DETT,Manual,White
SALE_00012,2023-02-25,R33,1995,53109,B,modified,Bonhams,UK,46876.44,RB26DETT,Manual,Bayside Blue
SALE_00013,2018-11-19,R33,1996,77839,A,modified,Bonhams,USA,54861.74,RB26DETT,Manual,Black
SALE_00014,2024-12-08,R33,1997,61553,B,stock,Bonhams,UK,49367.43,RB26DETT,Automatic,Red
SALE_00015,2025-11-25,R33,1995,107105,A,stock,Barrett-Jackson,Canada,44272.3,RB26DETT,Manual,Midnight Purple
SALE_00016,2020-07-22,R32,1991,101149,B,stock,Bring a Trailer,USA,35445.67,RB26DETT,Manual,Red
SALE_00017,2019-02-18,R33,1998,121155,C,stock,Barrett-Jackson,USA,31622.97,RB26DETT,Manual,Midnight Purple
SALE_00018,2025-02-16,R32,1994,53890,B,stock,Cars & Bids,UK,38962.24,RB26DETT,Manual,Black
SALE_00019,2021-12-26,R32,1991,86448,C,stock,Barrett-Jackson,Japan,25373.6,RB26DETT,Automatic,White
SALE_00020,2025-08-31,R34,2000,112601,A,modified,Mecum,UK,96171.2,RB26DETT,Manual,Red
SALE_00021,2019-12-02,R34,2002,74229,A,stock,Bring a Trailer,Canada,115608.73,RB26DETT,Automatic,Red
SALE_00022,2023-03-09,R32,1992,73570,A,modified,Bonhams,Japan,40014.52,RB26DETT,Manual,Midnight Purple
SALE_00023,2025-09-19,R34,2000,53580,C,stock,Cars & Bids,UK,89256.92,RB26DETT,Manual,Red
SALE_00024,2021-08-21,R32,1992,47097,C,modified,Bonhams,Japan,32197.6,RB26DETT,Manual,Red
SALE_00025,2021-07-16,R32,1989,52417,D,stock,Bring a Trailer,Japan,32872.06,RB26DETT,Manual,Bayside Blue
SALE_00026,2020-05-14,R32,1994,49168,A,modified,Cars & Bids,UK,47328.91,RB26DETT,Manual,Bayside Blue
SALE_00027,2025-05-08,R32,1989,87796,B,stock,Bonhams,UK,37203.62,RB26DETT,Manual,Midnight Purple
SALE_00028,2023-02-23,R34,2002,107620,C,modified,Cars & Bids,Australia,64600.6,RB26DETT,Manual,Red
SALE_00029,2020-10-07,R34,2000,85244,C,modified,Mecum,UK,66296.65,RB26DETT,Manual,Midnight Purple
SALE_00030,2024-07-22,R34,1999,40097,B,modified,Bonhams,Canada,108419.68,RB26DETT,Manual,White
SALE_00031,2022-01-22,R32,1992,148200,B,stock,Cars & Bids,Canada,30049.21,RB26DETT,Automatic,Black
SALE_00032,2023-07-15,R33,1998,116281,B,stock,Mecum,Japan,40576.74,RB26DETT,Manual,Silver
SALE_00033,2019-09-19,R32,1993,163518,C,stock,Bring a Trailer,USA,25451.34,RB26DETT,Automatic,Bayside Blue
SALE_00034,2018-09-18,R33,1996,73296,A,modified,Mecum,Australia,52174.53,RB26DETT,Manual,Silver
SALE_00035,2023-04-02,R34,2001,51514,B,stock,Cars & Bids,Australia,104112.95,RB26DETT,Manual,Silver
SALE_00036,2018-02-17,R33,1996,98902,A,stock,Bonhams,UK,52584.55,RB26DETT,Automatic,Silver
SALE_00037,2025-03-10,R32,1991,49235,C,stock,Bring a Trailer,Canada,30649.29,RB26DETT,Manual,White
SALE_00038,2022-11-16,R33,1996,95451,C,modified,Barrett-Jackson,USA,35049.99,RB26DETT,Manual,White
SALE_00039,2020-12-14,R33,1995,63321,C,stock,Mecum,Australia,38652.97,RB26DETT,Manual,Bayside Blue
SALE_00040,2019-03-12,R33,1997,78810,B,stock,Bonhams,Japan,44833.62,RB26DETT,Manual,Silver
SALE_00041,2020-03-25,R32,1992,20253,C,stock,Barrett-Jackson,Canada,39052.98,RB26DETT,Automatic,Silver
SALE_00042,2024-01-19,R33,1996,81367,B,stock,Mecum,UK,41792.61,RB26DETT,Manual,Midnight Purple
SALE_00043,2021-08-20,R34,2002,40762,C,stock,Bonhams,USA,82386.94,RB26DETT,Manual,Silver
SALE_00044,2022-01-26,R32,1989,68946,D,stock,Cars & Bids,USA,27636.5,RB26DETT,Manual,Bayside Blue
SALE_00045,2020-09-13,R32,1989,42173,D,modified,Barrett-Jackson,Japan,31057.55,RB26DETT,Manual,Bayside Blue
SALE_00046,2023-06-14,R33,1997,82596,A,stock,Bonhams,USA,49831.61,RB26DETT,Manual,Bayside Blue
SALE_00047,2019-06-10,R32,1989,100972,B,stock,Bring a Trailer,Canada,34415.65,RB26DETT,Manual,Midnight Purple
SALE_00048,2020-12-21,R32,1994,66798,B,stock,Cars & Bids,Canada,38880.78,RB26DETT,Manual,Midnight Purple
SALE_00049,2020-05-17,R34,1999,109178,D,modified,Bonhams,Canada,61103.88,RB26DETT,Automatic,Black
SALE_00050,2021-06-30,R33,1998,23078,B,stock,Bonhams,Japan,64645.33,RB26DETT,Manual,Red
SALE_00051,2023-10-21,R34,2001,95042,A,stock,Cars & Bids,UK,111174.45,RB26DETT,Manual,Black
SALE_00052,2020-07-09,R33,1995,88429,A,stock,Cars & Bids,USA,48373.18,RB26DETT,Manual,Midnight Purple
SALE_00053,2024-08-06,R32,1990,79147,C,stock,Bring a Trailer,UK,25721.12,RB26DETT,Automatic,Bayside Blue
SALE_00054,2020-06-21,R32,1989,61108,A,modified,Bonhams,Japan,47814.16,RB26DETT,Manual,Silver
SALE_00055,2025-01-28,R34,2002,68967,B,modified,Bring a Trailer,USA,96957.23,RB26DETT,Manual,Red
SALE_00056,2018-05-09,R32,1993,54121,B,stock,Bring a Trailer,Japan,45292.79,RB26DETT,Manual,Bayside Blue
SALE_00057,2020-09-01,R33,1995,72823,A,modified,Barrett-Jackson,USA,55479.08,RB26DETT,Manual,Silver
SALE_00058,2024-01-18,R32,1994,73993,B,stock,Barrett-Jackson,Australia,43331.49,RB26DETT,Manual,Midnight Purple
SALE_00059,2023-04-21,R33,1998,114743,C,modified,Mecum,Canada,30878.16,RB26DETT,Manual,Silver
SALE_00060,2020-02-19,R33,1997,89735,C,modified,Mecum,Australia,37376.32,RB26DETT,Manual,Black
